title,cluster,cluster_description
389 12,2,Woodland and Scrub
389 10,2,Woodland and Scrub
389 9,2,Woodland and Scrub
389 5,2,Woodland and Scrub
389 2,3,Amenity Grassland
485 12,1,Built Surface
485 4,3,Amenity Grassland
485 3,2,Woodland and Scrub
485 9,2,Woodland and Scrub
485 5,3,Amenity Grassland
485 1,3,Amenity Grassland
618 7,3,Amenity Grassland
618 10,1,Built Surface
619 5,1,Built Surface
619 3,3,Amenity Grassland
619 7,3,Amenity Grassland
619 10,3,Amenity Grassland
619 4,3,Amenity Grassland
619 1,3,Amenity Grassland
779 11,2,Woodland and Scrub
779 4,1,Built Surface
779 5,2,Woodland and Scrub
779 1,3,Amenity Grassland
779 10,1,Built Surface
876 2,2,Woodland and Scrub
876 4,3,Amenity Grassland
876 1,1,Built Surface
876 6,3,Amenity Grassland
876 8,3,Amenity Grassland
876 3,3,Amenity Grassland
908 9,3,Amenity Grassland
908 3,3,Amenity Grassland
908 6,2,Woodland and Scrub
908 4,3,Amenity Grassland
908 2,3,Amenity Grassland
908 5,2,Woodland and Scrub
908 1,3,Amenity Grassland
875 11,1,Built Surface
875 4,3,Amenity Grassland
875 2,3,Amenity Grassland
781 1,1,Built Surface
982 4,3,Amenity Grassland
982 2,3,Amenity Grassland
830 4,3,Amenity Grassland
830 1,2,Woodland and Scrub
731 1,3,Amenity Grassland
731 3,2,Woodland and Scrub
731 8,3,Amenity Grassland
731 4,3,Amenity Grassland
731 2,3,Amenity Grassland
667 6,3,Amenity Grassland
667 9,1,Built Surface
422 5,2,Woodland and Scrub
422 11,2,Woodland and Scrub
422 4,2,Woodland and Scrub
422 1,3,Amenity Grassland
422 7,2,Woodland and Scrub
422 6,2,Woodland and Scrub
422 10,3,Amenity Grassland
410 1,3,Amenity Grassland
410 2,2,Woodland and Scrub
410 3,2,Woodland and Scrub
410 9,2,Woodland and Scrub
410 4,2,Woodland and Scrub
410 10,2,Woodland and Scrub
410 5,2,Woodland and Scrub
377 2,3,Amenity Grassland
377 5,2,Woodland and Scrub
377 1,3,Amenity Grassland
377 7,3,Amenity Grassland
377 4,3,Amenity Grassland
377 6,3,Amenity Grassland
377 3,3,Amenity Grassland
821 8,3,Amenity Grassland
821 3,3,Amenity Grassland
821 11,1,Built Surface
823 1,2,Woodland and Scrub
823 10,1,Built Surface
823 2,1,Built Surface
823 7,3,Amenity Grassland
633 2,2,Woodland and Scrub
633 12,3,Amenity Grassland
661 4,2,Woodland and Scrub
661 6,2,Woodland and Scrub
661 8,2,Woodland and Scrub
661 1,2,Woodland and Scrub
661 5,2,Woodland and Scrub
661 2,2,Woodland and Scrub
